                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.81639,                0.70469,                 1.0347,                0.42251,                0.16099,                0.17943,                0.12618,                 1.4294,                 3.0094,                 1.5887,               0.007261,               0.007261,               0.007261
                     85,                0.81098,                0.70147,                 1.0304,                0.43186,                0.15625,                0.17488,                0.12362,                 1.4289,                 3.0601,                 1.5996,               0.007228,               0.007228,               0.007228
                     86,                0.78427,                0.66951,                 1.0201,                0.40146,                0.16233,                0.17523,                 0.1248,                 1.4164,                 3.0479,                 1.5925,               0.007195,               0.007195,               0.007195
                     87,                0.79493,                0.68239,                  1.028,                0.40675,                 0.1611,                0.17836,                0.12741,                 1.4085,                 3.0596,                 1.6134,               0.007162,               0.007162,               0.007162
                     88,                0.79863,                0.68355,                 1.0256,                0.42738,                 0.1547,                0.17233,                0.12355,                 1.3943,                 3.0836,                 1.5432,               0.007129,               0.007129,               0.007129
                     89,                0.79015,                0.66929,                 1.0193,                0.38717,                 0.1514,                0.16616,                0.11852,                 1.4197,                 3.2037,                 1.5686,               0.007096,               0.007096,               0.007096
                     90,                0.79284,                0.67643,                 1.0211,                0.37303,                0.15316,                0.16408,                0.11704,                 1.4163,                 3.2221,                 1.6035,               0.007063,               0.007063,               0.007063
                     91,                0.79079,                0.67043,                 1.0208,                0.48162,                 0.1447,                0.17169,                0.12323,                 1.4157,                 3.1459,                 1.5865,                0.00703,                0.00703,                0.00703
                     92,                0.79067,                0.66892,                 1.0229,                0.41934,                0.15656,                 0.1728,                0.12346,                 1.4063,                 3.0817,                 1.5644,               0.006997,               0.006997,               0.006997
                     93,                0.78373,                0.65585,                 1.0199,                0.44608,                0.15419,                 0.1725,                0.12438,                 1.3948,                 3.1291,                 1.5408,               0.006964,               0.006964,               0.006964
                     94,                0.77667,                0.66325,                 1.0142,                  0.382,                0.15332,                0.16822,                0.12138,                 1.3847,                 3.0799,                 1.5452,               0.006931,               0.006931,               0.006931
                     95,                0.78171,                0.66083,                 1.0193,                0.40464,                 0.1481,                0.16538,                0.11969,                 1.3894,                 3.1596,                 1.5341,               0.006898,               0.006898,               0.006898
                     96,                0.77595,                0.65155,                 1.0161,                 0.4023,                0.15326,                0.16683,                0.12039,                 1.4116,                 3.1842,                 1.5974,               0.006865,               0.006865,               0.006865
                     97,                0.77296,                0.65379,                  1.015,                0.43841,                 0.1512,                 0.1702,                0.12172,                  1.395,                 3.1361,                 1.5608,               0.006832,               0.006832,               0.006832
                     98,                0.76772,                0.64685,                 1.0114,                0.39434,                0.15626,                0.17103,                0.12116,                 1.3929,                 3.1171,                 1.5608,               0.006799,               0.006799,               0.006799
                     99,                0.76906,                0.64735,                 1.0124,                0.37157,                0.15672,                0.16963,                0.12018,                 1.4224,                 3.1236,                 1.5805,               0.006766,               0.006766,               0.006766
                    100,                0.76552,                0.63838,                 1.0096,                0.39946,                0.15481,                0.17038,                0.12181,                 1.4022,                 3.1152,                 1.5795,               0.006733,               0.006733,               0.006733
                    101,                0.76666,                0.63643,                 1.0068,                 0.4134,                0.15604,                0.17387,                0.12526,                 1.4366,                 3.1957,                 1.6272,                 0.0067,                 0.0067,                 0.0067
                    102,                 0.7638,                0.63766,                 1.0094,                0.39681,                0.15584,                0.17109,                0.12134,                 1.4387,                 3.2119,                 1.6278,               0.006667,               0.006667,               0.006667
                    103,                0.76105,                0.62996,                 1.0078,                0.43618,                0.14872,                0.16885,                0.11977,                 1.4297,                 3.1832,                 1.5987,               0.006634,               0.006634,               0.006634
                    104,                0.75986,                0.62751,                  1.007,                0.37531,                0.15759,                0.17069,                0.12165,                 1.4174,                 3.1428,                 1.5991,               0.006601,               0.006601,               0.006601
                    105,                0.75482,                 0.6236,                 1.0063,                0.43201,                0.14996,                0.16816,                0.12065,                 1.4138,                 3.1861,                 1.5784,               0.006568,               0.006568,               0.006568
                    106,                0.75446,                0.61884,                 1.0028,                0.40829,                0.15377,                0.16993,                0.12091,                 1.4116,                 3.1919,                 1.5774,               0.006535,               0.006535,               0.006535
                    107,                0.75068,                0.61611,                0.99823,                0.40069,                0.15285,                0.16883,                0.12092,                  1.415,                 3.1993,                 1.5869,               0.006502,               0.006502,               0.006502
                    108,                0.74866,                0.62189,                 1.0033,                 0.3838,                0.15821,                0.17054,                 0.1227,                 1.4091,                 3.1672,                    1.6,               0.006469,               0.006469,               0.006469
                    109,                0.74643,                0.61452,                0.99958,                0.39944,                0.15592,                0.16949,                0.12255,                 1.4223,                 3.2365,                 1.6117,               0.006436,               0.006436,               0.006436
                    110,                0.74266,                0.60911,                0.99882,                0.42087,                0.15367,                0.16967,                0.12322,                  1.423,                 3.2456,                 1.6131,               0.006403,               0.006403,               0.006403
                    111,                0.73689,                0.60291,                0.99356,                0.36776,                0.15955,                0.16898,                0.12226,                  1.451,                 3.2539,                 1.6482,                0.00637,                0.00637,                0.00637
                    112,                0.73592,                0.60259,                0.99463,                0.40661,                0.15573,                0.16997,                0.12289,                 1.4502,                 3.2522,                 1.6627,               0.006337,               0.006337,               0.006337
